L0 Component,L0 Component  Business Unit Alignment,L1 Component,L1 Component Description,L2 Capability  Component,L2 Capability  Component Description
1. Learn,Business Commercialization,1.01 Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",1.01.00 Marketing Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
1. Learn,Business Commercialization,1.01 Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",1.01.01 Market Research & Segmentation,Conduct research and segment markets to identify target customers.
1. Learn,Business Commercialization,1.01 Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",1.01.02 Competitive Intelligence,Gather and analyze competitor insights to guide marketing strategies.
1. Learn,Business Commercialization,1.01 Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",1.01.03 Marketing Performance & Attribution,Measure marketing effectiveness and attribute results to activities.
1. Learn,Business Commercialization,1.01 Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",1.01.04 Marketing Launch Plan,Plan and execute marketing launches for products and campaigns.
1. Learn,Business Commercialization,1.02 Advertising Mgmt,"Create, place, and optimize advertising content to reach and engage target audiences.",1.02.00 Advertising Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
1. Learn,Business Commercialization,1.02 Advertising Mgmt,"Create, place, and optimize advertising content to reach and engage target audiences.",1.02.01 Advertising Content Creation & Placement,Develop and place advertising content across targeted channels.
1. Learn,Business Commercialization,1.02 Advertising Mgmt,"Create, place, and optimize advertising content to reach and engage target audiences.",1.02.02 Advertising Performance Tracking & Optimization,Track ad performance and optimize campaigns for better results.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.03 Sales Account Mgmt,Segment and assign sales accounts to manage relationships and opportunities effectively.,1.03.00 Sales Account Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.03 Sales Account Mgmt,Segment and assign sales accounts to manage relationships and opportunities effectively.,1.03.01 Sales Account Segmentation,"Segment sales accounts based on size, type, or opportunity."
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.03 Sales Account Mgmt,Segment and assign sales accounts to manage relationships and opportunities effectively.,1.03.02 Sales Account Assignment,Assign accounts to sales teams or representatives for coverage.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.04 Sales Activity Mgmt,"Enable and guide sales teams with playbooks, tools, and channel execution.",1.04.00 Sales Activity Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.04 Sales Activity Mgmt,"Enable and guide sales teams with playbooks, tools, and channel execution.",1.04.01 Sales / Channel Enablement,Equip sales teams and channels with tools and resources to sell.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.04 Sales Activity Mgmt,"Enable and guide sales teams with playbooks, tools, and channel execution.",1.04.02 Sales Playbooks & Guidance Enablement,Provide structured playbooks and guidance to support selling.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.04 Sales Activity Mgmt,"Enable and guide sales teams with playbooks, tools, and channel execution.",1.04.03 Sales account meeting preparation / Quarterly Business Reviews(QBRs),"Preparing sales meeting materials for client meetings / QBRs, includes consolidating data, creating insights and recommendations"
1. Learn,Business Commercialization,1.05 Campaign Mgmt,"Plan, execute, and track marketing campaigns to generate demand and measure impact.",1.05.00 Campaign Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
1. Learn,Business Commercialization,1.05 Campaign Mgmt,"Plan, execute, and track marketing campaigns to generate demand and measure impact.",1.05.01 Campaign Execution & Refinement,Run campaigns and adjust based on performance and feedback.
1. Learn,Business Commercialization,1.05 Campaign Mgmt,"Plan, execute, and track marketing campaigns to generate demand and measure impact.",1.05.02 Campaign Performance Tracking,Track campaign outcomes and measure effectiveness.
1. Learn,Business Commercialization,1.05 Campaign Mgmt,"Plan, execute, and track marketing campaigns to generate demand and measure impact.",1.05.03 Campaign Planning & Budgeting,Plan campaigns and allocate budgets for marketing initiatives.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.06 Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",1.06.00 Lead Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
