L0 Component,L0 Component  Business Unit Alignment,L1 Component,L1 Component Description,L2 Capability  Component,L2 Capability  Component Description
Learn,Business Commercialization,Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",Marketing Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,Business Commercialization,Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",Market Research & Segmentation,Conduct research and segment markets to identify target customers.
Learn,Business Commercialization,Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",Competitive Intelligence,Gather and analyze competitor insights to guide marketing strategies.
Learn,Business Commercialization,Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",Marketing Performance & Attribution,Measure marketing effectiveness and attribute results to activities.
Learn,Business Commercialization,Marketing Mgmt,"Conduct market research, competitive analysis, performance tracking, and launch planning to drive awareness.",Marketing Launch Plan,Plan and execute marketing launches for products and campaigns.
Learn,Business Commercialization,Advertising Mgmt,"Create, place, and optimize advertising content to reach and engage target audiences.",Advertising Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,Business Commercialization,Advertising Mgmt,"Create, place, and optimize advertising content to reach and engage target audiences.",Advertising Content Creation & Placement,Develop and place advertising content across targeted channels.
Learn,Business Commercialization,Advertising Mgmt,"Create, place, and optimize advertising content to reach and engage target audiences.",Advertising Performance Tracking & Optimization,Track ad performance and optimize campaigns for better results.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Account Mgmt,Segment and assign sales accounts to manage relationships and opportunities effectively.,Sales Account Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Account Mgmt,Segment and assign sales accounts to manage relationships and opportunities effectively.,Sales Account Segmentation,"Segment sales accounts based on size, type, or opportunity."
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Account Mgmt,Segment and assign sales accounts to manage relationships and opportunities effectively.,Sales Account Assignment,Assign accounts to sales teams or representatives for coverage.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Activity Mgmt,"Enable and guide sales teams with playbooks, tools, and channel execution.",Sales Activity Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Activity Mgmt,"Enable and guide sales teams with playbooks, tools, and channel execution.",Sales / Channel Enablement,Equip sales teams and channels with tools and resources to sell.
