Domain_Name Component,Domain_ID Qualifier,SubDomain_Name Component,SubDomain_ID Qualifier,SRT_ID Qualifier,Bus_Cap Component,Cap_Bus_ID Qualifier,bus_cap_notes Qualifier,Bus_Cap_Detail Qualifier,Scope_Type Qualifier,Intake_Status Qualifier
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,18,Automated Collections  PA & Fraud,1000,NULL,"Orbit Integration  Payment arrangements can be completed via ACC  Today, outside collection agencies involved in bad debt collection after accounts are written off by the rep.  Tied into Orbit and collections requirements, which will automate this process.  Confirmed scope for AIA Post CI.",BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized
"Mediation, Billing, & Revenue Management",110,Collections,1049,42,Automated Collections Suspend & Fraud,1001,NULL,Collections will be automated with integration with Orbit and functionality deployed in AT&T Customer Connect,BSSe AIA Top 7,Prioritized
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
